ItemSku,SKU,SkuVendorCode,SkuName,Product Type,VendorCode,Country,status,VendorType,SiteName,Plant Type,WarehouseName
BB-Royalty,BB089-24,BB089-24ELT,Royalty,Mixed,ELT,Colombia,Active,Floral,Royalty,One Time,
BB089-24,BB089-24,BB089-24ELT,Royalty,Mixed,ELT,Colombia,Active,Floral,Royalty,One Time,
BB089-24,BB089-24,BB089-24ELT,Royalty,Mixed,ELT,Colombia,Active,Floral,Royalty,One Time,
BB100-20,BB100-20,BB100-20ELT,Shades of Autumn,Mixed,ELT,Colombia,Active,Floral,Shades of Autumn,One Time,
BB1002P,BB1002P,BB1002PGNC,Ficus Tineke,Plants,GNC,USA,Active,Floral,Ficus Tineke,One Time,
2956160145,BB1004-37,BB1004-37ELT,Munich,Mixed,ELT,Colombia,Active,Floral,Field of Sunshine,One Time,
BB1004-37,BB1004-37,BB1004-37ELT,Munich,Mixed,ELT,Colombia,Active,Floral,Field of Sunshine,One Time,
BB177-37,BB1004-37,BB1004-37ELT,Munich,Mixed,ELT,Colombia,Active,Floral,Field of Sunshine,One Time,
BB736-37,BB1004-37,BB1004-37ELT,Munich,Mixed,ELT,Colombia,Active,Floral,Field of Sunshine,One Time,
BB1005-30,BB1005-30,BB1005-30MGF,Salad,Tropical,MGF,Ecuador,Active,Floral,Paradise Harmony Bouquet,One Time,
BB1006-30,BB1006-30,BB1006-30MGF,Rainforest pink,Tropical,MGF,Ecuador,Active,Floral,Rainforest pink,One Time,
BB1007-25,BB1007-25,BB1007-25MGF,Miracle Yellow,Tropical,MGF,Ecuador,Active,Floral,Golden Revelation,One Time,
BB1008-24,BB1008-24,BB1008-24MGF,Tropical Punch 2,Tropical,MGF,Ecuador,Active,Floral,Jungle Fusion Bouquet,One Time,
BB1009-26,BB1009-26,BB1009-26MGF,Musa,Tropical,MGF,Ecuador,Active,Floral,Tropical Extravaganza,One Time,
BB101-28,BB101-28,BB101-28ELT,Autumn Embers,Mixed,ELT,Colombia,Active,Floral,Autumn Embers,One Time,
BB1109-22,BB1109-22,BB1109-22ELT,Salzburg,Mixed,ELT,Colombia,Active,Floral,Harmony of Colors,One Time,
BB1110P,BB1110P,BB1110PGNC,"Bromeliad, ""Red Guzmania Hope""",Plants,GNC,USA,Active,Floral,Exotic Splendor,One Time,
BB1111-32,BB1111-32,BB1111-32MGF,Pink Love NYBG,Tropical,MGF,Ecuador,Active,Floral,Island Oasis,One Time,
BB1112P,BB1112P,BB1112PGNC,"5"" Peperomia Obtipan Green on 5"" Brown Wood",Plants,GNC,USA,Active,Floral,Peperomia with Wood Pot,One Time,
BB1113P,BB1113P,BB1113PGNC,"5"" Alocasia on 5"" Grey Nate",Plants,GNC,USA,Inactive,Floral,Alocasia with Grey Pot,One Time,
BB1114-32,BB1114-32,BB1114-32MGF,Pink Anana NYBG,Tropical,MGF,Ecuador,Active,Floral,Tropical Dreamland,One Time,
BB1115P,BB1115P,BB1115PGNC,Dracaena Deremensis Sol,Plants,GNC,USA,Active,Floral,Yellow Star Dracaena,One Time,
BB1116-18,BB1116-18,BB1116-18AGN,Pandora Rose x18 40cm,Roses,AGN,Ecuador,Active,Floral,Pandora Roses,One Time,
8501964259,BB1117-22,BB1117-22ELT,Liverpool,Mixed,ELT,Colombia,Active,Floral,Coastal Breeze,One Time,
8501964259,BB1117-22,BB1117-22ELT,Liverpool,Mixed,ELT,Colombia,Active,Floral,Coastal Breeze,One Time,
BB1117-22,BB1117-22,BB1117-22ELT,Liverpool,Mixed,ELT,Colombia,Active,Floral,Coastal Breeze,One Time,
BB1118-24,BB1118-24,BB1118-24ELT,BB136-27 modif,Mixed,ELT,Colombia,Active,Floral,UNKN,One Time,
BB1119-5,BB1119-5,BB1119-5FNA,Hydrangea White Big Petal Select,Bunch,FNA,Colombia,Active,Floral,White Symphony Hydrangea Bouquet,One Time,
BB112-29,BB112-29,BB112-29MULT,Lady Lavender,Mixed,MULT,Colombia,Active,Floral,Lady Lavender,One Time,
BB112-30,BB112-30,BB112-30ELT,Mossy Meadow,Mixed,ELT,Colombia,Active,Floral,Mossy Meadow,One Time,
BB1120-22CLP,BB1120-22,BB1120-22ELT,Springtime Symphony with Clippers,Mixed,ELT,Colombia,Inactive,Floral,Springtime Symphony with Clippers,One Time,
BB1121-27CLP,BB1121-27,BB1121-27ELT,Sweet Serenade with Floral Clippers,Mixed,ELT,Colombia,Inactive,Floral,Sweet Serenade with Floral Clippers,One Time,
BB1122-31CLP,BB1122-31,BB1122-31ELT,Coral Sunset with Floral Clippers,Mixed,ELT,Colombia,Inactive,Floral,Coral Sunset with Floral Clippers,One Time,
BB1123-27CLP,BB1123-27,BB1123-27ELT,Pastel Garden with Floral Clippers,Mixed,ELT,Colombia,Inactive,Floral,Pastel Garden with Floral Clippers,One Time,
BB1124-25CLPTT,BB1124-25,BB1124-25ELT,BB987-25 blooming brilliance with tote and scissors,Mixed,ELT,Colombia,Active,Floral,BB987-25 blooming brilliance with tote and scissors,One Time,
BB1125-18,BB1125-18,BB1125-18AGN,Rose Hearts x18 40cm,Roses,AGN,Ecuador,Active,Floral,Heart roses,One Time,
BB1126-25,BB1126-25,BB1126-25ELT,PF-Simba,Mixed,ELT,Colombia,Active,Floral,Sunshine Delight,One Time,
BB1127-15,BB1127-15,BB1127-15SVG,White Mini Callas x15,Bunch,SVG,USA,Active,Floral,White Mini Calla,One Time,SUN VALLEY
BB1128-28,BB1128-28,BB1128-28MGF,Pink Love Premium,Tropical,MGF,Ecuador,Active,Floral,Island Oasis,One Time,
BB1129P,BB1129P,BB1129PGNC,"5"" Calathea lancifolia on 5"" Brown Wood",Plants,GNC,USA,Active,Floral,Calathea Lancifolia with Wood Pot,One Time,
BB113-28,BB113-28,BB113-28ELT,Autumn Time,Mixed,ELT,Colombia,Active,Floral,Autumn Time,One Time,
BB1130P,BB1130P,BB1130PGNC,"Fiddle Leaf Fig on 5"" Grey Nate",Plants,GNC,USA,Inactive,Floral,Fiddle Leaf Fig with Grey Pot,One Time,
BB1136P,BB1136P,BB1136PGNC,"5"" Pink Orchid on 5"" White Evi",Plants,GNC,USA,Active,Floral,Pink Paris with White Pot,One Time,
BB1137-27,BB1137-27,BB1137-27MGF,Maui Medium,Tropical,MGF,Ecuador,Active,Floral,Jungle Whispers,One Time,
BB1138P,BB1138P,BB1138PGNC,"2.5"" Pink Orchid on 5"" Cream Jute",Plants,GNC,USA,Active,Floral,Cape Town with Jute Pot,One Time,
BB114-29,BB114-29,BB114-29ELT,Fall Foliage,Mixed,ELT,Colombia,Active,Floral,Fall Foliage,One Time,
BB1140-18,BB1140-18,BB1140-18NTF,Phoenix Rose x18 40cm,Roses,NTF,Ecuador,Active,Floral,Phoenix Rose x18 40cm,One Time,
BB1143P,BB1143P,BB1143PGNC,"4"" Purple Orchid Duo on 5"" Grey Nate",Plants,GNC,USA,Active,Floral,Purple Orchid Duo with Grey Pot,One Time,
BB1144-5,BB1144-5,BB1144-5FNA,Hydrangea Big Petal Blueberry,Bunch,FNA,Colombia,Active,Floral,Blueberry Delight Hydrangea Bouquet,One Time,
BB1145P,BB1145P,BB1145PGNC,"2.5"" Pink Orchid on 5"" White Evi",Plants,GNC,USA,Active,Floral,Cape Town with White Pot,One Time,
BB1146P,BB1146P,BB1146PGNC,"5"" Orange Bromeliad on 5"" Brown Wood",Plants,GNC,USA,Active,Floral,Fiery Bomeliad with Wood Pot,One Time,
BB1147-5,BB1147-5,BB1147-5FNA,Hydrangea Hulk Big Petal,Bunch,FNA,Colombia,Active,Floral,Emerald Enchantment Hydrangea Bouquet,One Time,
BB1148-15,BB1148-15,BB1148-15SVG,Yellow Mini Callas x15,Bunch,SVG,USA,Inactive,Floral,Yellow Calla Lilies,One Time,SUN VALLEY
BB115-30,BB115-30,BB115-30ELT,Sunset,Mixed,ELT,Colombia,Active,Floral,Sunset,One Time,
BB1159P,BB1159P,BB1159PGNC,Rhoeo Spathacea Discolor Compacta,Plants,GNC,USA,Active,Floral,UNKN,One Time,
BB116-30,BB116-30,BB116-30ELT,Harvest Gold,Mixed,ELT,Colombia,Active,Floral,Harvest Gold,One Time,
BB117-30,BB117-30,BB117-30ELT,Amber Sunset,Mixed,ELT,Colombia,Active,Floral,Amber Sunset,One Time,
BB1174P,BB1174P,BB1174PGNC,"5"" Pink Bromeliad on 5"" White Evi",Plants,GNC,USA,Active,Floral,Pink Bomeliad with White Pot,One Time,
BB1177P,BB1177P,BB1177PGNC,"5"" Calathea Wavestar on 5"" White Evi",Plants,GNC,USA,Active,Floral,Calathea Wavestar with White Pot,One Time,
BB1178-5,BB1178-5,BB1178-5FNA,Hydrangea Big Petal Kiwi Select,Bunch,FNA,Colombia,Active,Floral,Kiwi Dream Hydrangea Bouquet,One Time,
BB1179-30,BB1179-30,BB1179-30RPM,NYBG OCT Roots,Mixed,RPM,PERU,Active,Floral,Misty Whispers Bouquet,One Time,
BB118-27,BB118-27,BB118-27ELT,Autumn Morning,Mixed,ELT,Colombia,Active,Floral,Autumn Morning,One Time,
BB1180-27,BB1180-27,BB1180-27ELT,Mashhad,Mixed,ELT,Colombia,Active,Floral,Creamy Blue Horizon,One Time,
BB1181P,BB1181P,BB1181PGNC,"5"" Pink Anthurium on 5"" Cream Jute",Plants,GNC,USA,Active,Floral,Pink Anthurium with Jute Pot,One Time,
BB1182-5,BB1182-5,BB1182-5FNA,Hydrangea Red and Blue,Bunch,FNA,Colombia,Active,Floral,Patriotic Bliss Hydrangea Bouquet,One Time,
BB1183-28,BB1183-28,BB1183-28ELT,Suva,Mixed,ELT,Colombia,Active,Floral,UNKN,One Time,
BB1184P,BB1184P,BB1184PGNC,"5"" Pink Orchid",Plants,GNC,USA,Active,Floral,"5"" Pink Orchid",One Time,
BB1185P,BB1185P,BB1185PGNC,Begonia Maculata (Angel Wing),Plants,GNC,USA,Active,Floral,UNKN,One Time,
BB1186P,BB1186P,BB1186PGNC,"5"" Blue Watercolor Orchid on 5"" Cream Jute",Plants,GNC,USA,Active,Floral,Blue Orchid with Jute Pot,One Time,
BB1187P,BB1187P,BB1187PGNC,Crassula ovata 'Sunset',Plants,GNC,USA,Active,Floral,Sunset Serenity Ovata,One Time,
BB1188P,BB1188P,BB1188PGNC,"Pothos ""Njoy""",Plants,GNC,USA,Active,Floral,UNKN,One Time,
BB1189P,BB1189P,BB1189PGNC,"4"" Purple Orchid Duo on 5"" Brown Wood",Plants,GNC,USA,Active,Floral,Purple Orchid Duo with Wood Pot,One Time,
BB119-29,BB119-29,BB119-29ELT,Fall Forward,Mixed,ELT,Colombia,Active,Floral,Fall Forward,One Time,
BB1192-30,BB1192-30,BB1192-30EBT,Taipei,Mixed,EBT,Ecuador,Active,Floral,Mystic Bloom Harmony,One Time,
BB1193-30,BB1193-30,BB1193-30EBT,Birmingham,Mixed,EBT,Ecuador,Active,Floral,Sunlit Succulent,One Time,
BB1194P,BB1194P,BB1194PGNC,"5"" Blue Watercolor Orchid on 5"" Brown Wood",Plants,GNC,USA,Active,Floral,Blue Orchid with Wood Pot,One Time,
BB1199-32,BB1199-32,BB1199-32EBT,Stockholm,Mixed,EBT,Ecuador,Active,Floral,UNKN,One Time,
BB1200-35,BB1200-35,BB1200-35EBT,Lyon,Mixed,EBT,Ecuador,Active,Floral,Holiday on the Farm / Valentine's Day on the Farm,One Time,
BB1202P,BB1202P,BB1202PGNC,"5"" Splinriet Bromeliad on 5"" Brown Wood",Plants,GNC,USA,Active,Floral,Splinriet Bromeliad with Wood Pot,One Time,
BB1205-32,BB1205-32,BB1205-32EBT,Buenos Aires,Mixed,EBT,Ecuador,Active,Floral,Paradise Symphony,One Time,
BB1208P,BB1208P,BB1208PGNC,"5"" White Orchid",Plants,GNC,USA,Active,Floral,"5"" White Orchid",One Time,
BB121-34,BB121-34,BB121-34ELT,Sunflowers Mixed bqt,Mixed,ELT,Colombia,Active,Floral,Amber Elegance,One Time,
BB1211P,BB1211P,BB1211PGNC,"5"" Zz on 5"" Grey Nate",Plants,GNC,USA,Active,Floral,ZZ Plant with Grey Pot,One Time,
BB1212P,BB1212P,BB1212PGNC,"2.5"" Pink Orchid on 5"" Grey Nate",Plants,GNC,USA,Active,Floral,Cape Town with Grey Pot,One Time,
BB1213-30,BB1213-30,BB1213-30EBT,Proposal #6,Mixed,EBT,Ecuador,Active,Floral,UNKN,One Time,
BB1214P,BB1214P,BB1214PGNC,"5"" Pink Bromeliad on 5"" Grey Nate",Plants,GNC,USA,Active,Floral,Pink Bomeliad with Grey Pot,One Time,
BB1220P,BB1220P,BB1220PGNC,"5"" Imperial Red Philodendron on 5"" Grey Nate",Plants,GNC,USA,Active,Floral,Red Philodendron with Grey Pot,One Time,
BB1222P,BB1222P,BB1222PGNC,"5"" Splinriet Bromeliad on 5"" White Evi",Plants,GNC,USA,Active,Floral,Splinriet Bromeliad with White Pot,One Time,
BB1224-21,BB1224-21,BB1224-21MEL,Mellano's Fall 2023,Mixed,MEL,USA,Active,Floral,Maghony Sunflowers,One Time,
BB1226-10,BB1226-10,BB1226-10SVG,Asst Dahlias x10,Bunch,SVG,USA,Inactive,Floral,UNKN,One Time,SUN VALLEY
BB1229P,BB1229P,BB1229PGNC,"5"" Blue Watercolor Orchid on 5"" Grey Nate",Plants,GNC,USA,Active,Floral,Blue Orchid with Grey Pot,One Time,
BB1232P,BB1232P,BB1232PGNC,"5"" White Orchid on 5"" Brown Wood",Plants,GNC,USA,Active,Floral,Paris with Wood Pot,One Time,
BB1233P,BB1233P,BB1233PGNC,"5"" Peperomia Obtipan Green on 5"" Cream Jute",Plants,GNC,USA,Active,Floral,Peperomia with Jute Pot,One Time,
BB1234P,BB1234P,BB1234PGNC,"5"" Imperial Red Philodendron on 5"" Brown Wood",Plants,GNC,USA,Active,Floral,Red Philodendron with Wood Pot,One Time,
BB1235-18,BB1235-18,BB1235-18AGN,Tutti Frutti Rose x18 40cm,Roses,AGN,Ecuador,Active,Floral,Heart roses,One Time,
BB1238P,BB1238P,BB1238PGNC,"5"" Splinriet Bromeliad on 5"" Cream Jute",Plants,GNC,USA,Active,Floral,Splinriet Bromeliad with Jute Pot,One Time,
BB1240-24,BB1240-24,BB1240-24ELT,Miami,Mixed,ELT,Colombia,Active,Floral,UNKN,One Time,
BB1244P,BB1244P,BB1244PGNC,Osaka Bird's nest fern,Plants,GNC,USA,Active,Floral,Osaka Bird's nest fern,One Time,
BB1245-18,BB1245-18,BB1245-18NTF,Rose Nina x18 40cm,Roses,NTF,Ecuador,Active,Floral,Rose Nina,One Time,
BB1245-18,BB1245-18,BB1245-18NTF,Rose Nina x18 40cm,Roses,NTF,Ecuador,Active,Floral,Rose Nina,One Time,
BB1249-24,BB1249-24,BB1249-24NTF,White Mondial Rose Bqt x24 40cm,Roses,NTF,Ecuador,Active,Floral,White Roses Bouquet,One Time,
3663246561,BB125-29,BB125-29ELT,Celebration,Mixed,ELT,Colombia,Active,Floral,Celebration,One Time,
5107248695,BB125-29,BB125-29ELT,Celebration,Mixed,ELT,Colombia,Active,Floral,Celebration,One Time,
5107248695,BB125-29,BB125-29ELT,Celebration,Mixed,ELT,Colombia,Active,Floral,Celebration,One Time,
B09YMYS4K6,BB125-29,BB125-29ELT,Celebration,Mixed,ELT,Colombia,Active,Floral,Celebration,One Time,
BB125-29,BB125-29,BB125-29ELT,Celebration,Mixed,ELT,Colombia,Active,Floral,Celebration,One Time,
BB1253P,BB1253P,BB1253PGNC,"5"" Money Tree on 5"" Brown Wood",Plants,GNC,USA,Active,Floral,Money Tree with Wood Pot,One Time,
BB1254P,BB1254P,BB1254PGNC,Zebrina RADESCANTIA QUADRI COLOR,Plants,GNC,USA,Active,Floral,Variegated Zebrina Charm,One Time,
BB1262P,BB1262P,BB1262PGNC,"5"" Sanseveria on 5"" Grey Nate",Plants,GNC,USA,Inactive,Floral,Sanseveria with Grey Pot,One Time,
BB1263P,BB1263P,BB1263PGNC,"5"" Calathea lancifolia on 5"" Grey Nate",Plants,GNC,USA,Active,Floral,Calathea Lancifolia with Grey Pot,One Time,
BB1275P,BB1275P,BB1275PGNC,"5"" White Orchid on 5"" Grey Nate",Plants,GNC,USA,Active,Floral,Paris with Grey Pot,One Time,
BB1278P,BB1278P,BB1278PGNC,"5"" Pink Orchid on 5"" Grey Nate",Plants,GNC,USA,Active,Floral,Pink Paris with Grey Pot,One Time,
BB128-22,BB128-22,BB128-22ELT,Keep on Shining,Mixed,ELT,Colombia,Active,Floral,Keep on Shining,One Time,
BB1281P,BB1281P,BB1281PGNC,"5"" Orange Bromeliad on 5"" Grey Nate",Plants,GNC,USA,Active,Floral,Fiery Bomeliad with Grey Pot,One Time,
BB1282P,BB1282P,BB1282PGNC,"5"" Pink Orchid on 5"" Brown Wood",Plants,GNC,USA,Active,Floral,Pink Paris with Wood Pot,One Time,
BB1284P,BB1284P,BB1284PGNC,"5"" Pink Bromeliad on 5"" Brown Wood",Plants,GNC,USA,Active,Floral,Pink Bomeliad with Wood Pot,One Time,
BB1290P,BB1290P,BB1290PGNC,"5"" White Orchid on 5"" Cream Jute",Plants,GNC,USA,Active,Floral,Paris with Jute Pot,One Time,
BB1293P,BB1293P,BB1293PGNC,"2.5"" Pink Orchid on 5"" Brown Wood",Plants,GNC,USA,Active,Floral,Cape Town with Wood Pot,One Time,
BB1295P,BB1295P,BB1295PGNC,"5"" Pink Anthurium on 5"" Grey Nate",Plants,GNC,USA,Active,Floral,Pink Anthurium with Grey Pot,One Time,
BB1302P,BB1302P,BB1302PGNC,"5"" Money Tree on 5"" Cream Jute",Plants,GNC,USA,Active,Floral,Money Tree with Jute Pot,One Time,
BB1308P,BB1308P,BB1308PGNC,"5"" Sanseveria on 5"" Cream Jute",Plants,GNC,USA,Active,Floral,Sanseveria with Jute Pot,One Time,
BB1311P,BB1311P,BB1311PGNC,"5"" Calathea lancifolia on 5"" White Evi",Plants,GNC,USA,Active,Floral,Calathea Lancifolia with White Pot,One Time,
BB1312P,BB1312P,BB1312PGNC,"4"" Purple Orchid Duo on 5"" White Evi",Plants,GNC,USA,Active,Floral,Purple Orchid Duo with White Pot,One Time,
BB1316P,BB1316P,BB1316PGNC,"5"" Red Anthurium on 5"" White Evi",Plants,GNC,USA,Active,Floral,Red Anthurium with White Pot,One Time,
BB132-31,BB132-31,BB132-31ELT,Christmas Marvel,Mixed,ELT,Colombia,Active,Floral,Christmas Marvel,One Time,
BB1321P,BB1321P,BB1321PGNC,"5"" Peperomia Obtipan Green on 5"" White Evi",Plants,GNC,USA,Active,Floral,Peperomia with White Pot,One Time,
BB1324-12,BB1324-12,BB1324-12AGC,Red Panther x12st 50cm,Roses,AGC,Ecuador,Active,Floral,UNKN,One Time,
BB1326-24,BB1326-24,BB1326-24AGC,Stardust Rose x 24st 50cm,Roses,AGC,Ecuador,Active,Floral,UNKN,One Time,
BB1328P,BB1328P,BB1328PGNC,"5"" Red Anthurium on 5"" Cream Jute",Plants,GNC,USA,Active,Floral,Red Anthurium with Jute Pot,One Time,
BB1329P,BB1329P,BB1329PGNC,"4"" Purple Orchid Duo on 5"" Cream Jute",Plants,GNC,USA,Active,Floral,Purple Orchid Duo with Jute Pot,One Time,
BB133-25,BB133-25,BB133-25ELT,Serenity,Mixed,ELT,Colombia,Active,Floral,Serenity,One Time,
BB1330P,BB1330P,BB1330PGNC,"5"" Peperomia Obtipan Green on 5"" Grey Nate",Plants,GNC,USA,Active,Floral,Peperomia with Grey Pot,One Time,
BB1334P,BB1334P,BB1334PGNC,"5"" Alocasia on 5"" White Evi",Plants,GNC,USA,Active,Floral,Alocasia with White Pot,One Time,
BB1341P,BB1341P,BB1341PGNC,"5"" Orange Bromeliad on 5"" Cream Jute",Plants,GNC,USA,Active,Floral,Fiery Bomeliad with Jute Pot,One Time,
BB1344P,BB1344P,BB1344PGNC,"5"" Blue Watercolor Orchid on 5"" White Evi",Plants,GNC,USA,Active,Floral,Blue Orchid with White Pot,One Time,
2757614795,BB1345P,BB1345PGNC,"5"" Zz on 5"" White Evi",Plants,GNC,USA,Active,Floral,Zion ZZ,One Time,
BB1345P,BB1345P,BB1345PGNC,"5"" Zz on 5"" White Evi",Plants,GNC,USA,Active,Floral,Zion ZZ,One Time,
BB1352P,BB1352P,BB1352PGNC,"5"" Money Tree on 5"" White Evi",Plants,GNC,USA,Active,Floral,Money Tree with White Pot,One Time,
BB1359P,BB1359P,BB1359PGNC,"5"" Imperial Red Philodendron on 5"" Cream Jute",Plants,GNC,USA,Active,Floral,Red Philodendron with Jute Pot,One Time,
BB136-27,BB136-27,BB136-27ELT,Land of the Free,Mixed,ELT,Colombia,Active,Floral,Land of the Free,One Time,
BB1366P,BB1366P,BB1366PGNC,"5"" Pink Orchid on 5"" Cream Jute",Plants,GNC,USA,Active,Floral,Pink Paris with Jute Pot,One Time,
BB1370P,BB1370P,BB1370PGNC,"5"" Imperial Red Philodendron on 5"" White Evi",Plants,GNC,USA,Active,Floral,Red Philodendron with White Pot,One Time,
BB1373P,BB1373P,BB1373PGNC,"5"" Zz on 5"" Cream Jute",Plants,GNC,USA,Active,Floral,ZZ Plant with Jute Pot,One Time,
BB1374P,BB1374P,BB1374PGNC,"5"" Orange Bromeliad on 5"" White Evi",Plants,GNC,USA,Active,Floral,Fiery Bomeliad with White Pot,One Time,
BB1379P,BB1379P,BB1379PGNC,"5"" Alocasia on 5"" Brown Wood",Plants,GNC,USA,Active,Floral,Alocasia with Wood Pot,One Time,
BB1384P,BB1384P,BB1384PGNC,"5"" Sanseveria on 5"" White Evi",Plants,GNC,USA,Active,Floral,Sanseveria with White Pot,One Time,
BB1385-12,BB1385-12,BB1385-12AGC,Cherry Brandy Rose x12st 50cm,Roses,AGC,Ecuador,Active,Floral,UNKN,One Time,
BB1399-24,BB1399-24,BB1399-24AGC,Bluez Rose x 24st 50cm,Roses,AGC,Ecuador,Active,Floral,UNKN,One Time,
BB1401-12,BB1401-12,BB1401-12AGC,Breathless x12st 50cm,Roses,AGC,Ecuador,Active,Floral,UNKN,One Time,
BB1404P,BB1404P,BB1404PGNC,"Fiddle Leaf Fig on 5"" White Evi",Plants,GNC,USA,Active,Floral,Fiddle Leaf Fig with White Pot,One Time,
BB141-24,BB141-24,BB141-24NTF,Red and White Rose x24,Roses,NTF,Ecuador,Active,Floral,Red and White Rose x24,One Time,
BB1418P,BB1418P,BB1418PGNC,"5"" Calathea Wavestar on 5"" Cream Jute",Plants,GNC,USA,Active,Floral,Calathea Wavestar with Jute Pot,One Time,
BB1424P,BB1424P,BB1424PGNC,"5"" Alocasia on 5"" Cream Jute",Plants,GNC,USA,Active,Floral,Alcoasia with Jute Pot,One Time,
BB1429P,BB1429P,BB1429PGNC,"5"" Calathea Wavestar on 5"" Grey Nate",Plants,GNC,USA,Active,Floral,Calathea Wavestar with Grey Pot,One Time,
BB1430P,BB1430P,BB1430PGNC,"5"" Zz on 5"" Brown Wood",Plants,GNC,USA,Active,Floral,ZZ Plant with Wood Pot,One Time,
BB1431P,BB1431P,BB1431PGNC,"5"" Pink Bromeliad on 5"" Cream Jute",Plants,GNC,USA,Active,Floral,Pink Bomeliad with Jute Pot,One Time,
BB1433P,BB1433P,BB1433PGNC,"5"" Peperomia Obtipan Green",Plants,GNC,USA,Active,Floral,"5"" Peperomia Obtipan Green",One Time,
BB1438P,BB1438P,BB1438PGNC,"5"" Pink Anthurium on 5"" White Evi",Plants,GNC,USA,Active,Floral,Pink Anthurium with White Pot,One Time,
BB1441P,BB1441P,BB1441PGNC,"Fiddle Leaf Fig on 5"" Cream Jute",Plants,GNC,USA,Inactive,Floral,Fiddle Leaf Fig with Jute Pot,One Time,
BB1451P,BB1451P,BB1451PGNC,"5"" Calathea lancifolia on 5"" Cream Jute",Plants,GNC,USA,Active,Floral,Calathea Lancifolia with Jute Pot,One Time,
BB1457P,BB1457P,BB1457PGNC,"Fiddle Leaf Fig on 5"" Brown Wood",Plants,GNC,USA,Active,Floral,Fiddle Leaf Fig with Wood Pot,One Time,
BB1463P,BB1463P,BB1463PGNC,"5"" White Orchid on 5"" White Evi",Plants,GNC,USA,Active,Floral,Paris with White Pot,One Time,
BB1465P,BB1465P,BB1465PGNC,"5"" Splinriet Bromeliad on 5"" Grey Nate",Plants,GNC,USA,Active,Floral,Splinriet Bromeliad with Grey Pot,One Time,
BB1466P,BB1466P,BB1466PGNC,"5"" Calathea Wavestar on 5"" Brown Wood",Plants,GNC,USA,Active,Floral,Calathea Wavestar with Wood Pot,One Time,
BB1467P,BB1467P,BB1467PGNC,"5"" Sanseveria on 5"" Brown Wood",Plants,GNC,USA,Inactive,Floral,Sanseveria with Wood Pot,One Time,
BB1484P,BB1484P,BB1484PGNC,"5"" Pink Anthurium on 5"" Brown Wood",Plants,GNC,USA,Active,Floral,Pink Anthurium with Wood Pot,One Time,
BB1485P,BB1485P,BB1485PGNC,"5"" Red Anthurium on 5"" Brown Wood",Plants,GNC,USA,Active,Floral,Red Anthurium with Wood Pot,One Time,
BB1494P,BB1494P,BB1494PGNC,"5"" Calathea lancifolia",Plants,GNC,USA,Active,Floral,"5"" Calathea lancifolia",One Time,
BB1496P,BB1496P,BB1496PGNC,"5"" Money Tree on 5"" Grey Nate",Plants,GNC,USA,Active,Floral,Money Tree with Grey Pot,One Time,
BB1498P,BB1498P,BB1498PGNC,"5"" Red Anthurium on 5"" Grey Nate",Plants,GNC,USA,Active,Floral,Red Anthurium with Grey Pot,One Time,
BB154-25,BB154-25,BB154-25ELT,Sunrose Bqt,Mixed,ELT,Colombia,Active,Floral,Sunrose Bqt,One Time,
BB174-39,BB174-39,BB174-39ELT,Ottawa,Mixed,ELT,Colombia,Active,Floral,Ottawa,One Time,
BB175-37,BB175-37,BB175-37MULT,Honolulu,Mixed,MULT,Colombia,Active,Floral,Wild Berry Premium,One Time,
BB175-42,BB175-37,BB175-37MULT,Honolulu,Mixed,MULT,Colombia,Active,Floral,Wild Berry Premium,One Time,
BB175-42,BB175-37,BB175-37MULT,Honolulu,Mixed,MULT,Colombia,Active,Floral,Wild Berry Premium,One Time,
BB176-38,BB176-38,BB176-38MULT,Springtime Picnic Premium,Mixed,MULT,Colombia,Active,Floral,UNKN,One Time,
BB178-37,BB178-37,BB178-37ELT,Berlin,Mixed,ELT,Colombia,Active,Floral,Berlin,One Time,
BB179-43,BB179-43,BB179-43MULT,SPARKLING GRASS 40 ST_ONE TIME,Mixed,MULT,Colombia,Active,Floral,Sparkling Glass,One Time,
BB181-41,BB181-41,BB181-41MULT,EXCALIBUR_BB181-41,Mixed,MULT,Colombia,Active,Floral,UNKN,One Time,
BB182-40,BB182-40,BB182-40MULT,Honey Blush Premium,Mixed,MULT,Colombia,Active,Floral,Honey Blush Premium,One Time,
BB183-40,BB183-40,BB183-40ELT,Caracas,Mixed,ELT,Colombia,Active,Floral,Caracas,One Time,
BB184-40,BB184-40,BB184-40MULT,Honey Blush Premium,Mixed,MULT,Colombia,Active,Floral,Honey Blush Premium,One Time,
BB185-40,BB185-40,BB185-40MULT,Pastel Daydream Premium,Mixed,MULT,Colombia,Active,Floral,Pastel Daydream Premium,One Time,
2956088756,BB186-44,BB186-44ELT,Pink Cupcake,Mixed,ELT,Colombia,Active,Floral,Pink Cupcake,One Time,
BB186-44,BB186-44,BB186-44ELT,Pink Cupcake,Mixed,ELT,Colombia,Active,Floral,Pink Cupcake,One Time,
BB187-32,BB187-32,BB187-32ELT,Summer Sunset Premium,Mixed,ELT,Colombia,Active,Floral,Summer Sunset Premium,One Time,
BB188-48,BB188-48,BB188-48MULT,Velvet Premium,Mixed,MULT,Colombia,Active,Floral,Velvet Premium,One Time,
BB189-38,BB189-38,BB189-38MULT,First kiss Premium,Mixed,MULT,Colombia,Active,Floral,First kiss Premium,One Time,
