SKU,SkuName,Product Type,site Name,skutype,Code,Recipe,Stems,Box fit,status,Create date,Season,skutype,Plant Type,Vendor,VendorType
BB1224-21,Mellano's Fall 2023,Mixed,Maghony Sunflowers,Seasonal,S,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1718208219,21,UNKN,Active,no match,,Perishable,One Time,MEL,Floral
BB1226-10,Asst Dahlias x10,Bunch,UNKN,Seasonal,S,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=136531895,10,Small,Inactive,no match,,Perishable,One Time,SVG,Floral
BB1229P,"5"" Blue Watercolor Orchid on 5"" Grey Nate",Plants,Blue Orchid with Grey Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=968687358,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1232P,"5"" White Orchid on 5"" Brown Wood",Plants,Paris with Wood Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1568033849,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1233P,"5"" Peperomia Obtipan Green on 5"" Cream Jute",Plants,Peperomia with Jute Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1595034252,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1234P,"5"" Imperial Red Philodendron on 5"" Brown Wood",Plants,Red Philodendron with Wood Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=2093009259,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1235-18,Tutti Frutti Rose x18 40cm,Roses,Heart roses,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1261150927,18,Small,Active,no match,,Perishable,One Time,AGN,Floral
BB1238P,"5"" Splinriet Bromeliad on 5"" Cream Jute",Plants,Splinriet Bromeliad with Jute Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1929843691,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1240-24,Miami,Mixed,UNKN,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1560771311,24,Small,Active,no match,,Perishable,One Time,ELT,Floral
BB1244P,Osaka Bird's nest fern,Plants,Osaka Bird's nest fern,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=808009831,1,,Active,no match,,Perishable,One Time,GNC,Floral
BB1245-18,Rose Nina x18 40cm,Roses,Rose Nina,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1037428843,18,Small,Active,no match,,Perishable,One Time,NTF,Floral
BB1249-24,White Mondial Rose Bqt x24 40cm,Roses,White Roses Bouquet,Evergreen,E,,24,Small,Active,no match,,Perishable,One Time,NTF,Floral
BB125-29,Celebration,Mixed,Celebration,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1301771058,29,Large,Active,no match,,Perishable,One Time,ELT,Floral
BB1253P,"5"" Money Tree on 5"" Brown Wood",Plants,Money Tree with Wood Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=356922405,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1254P,Zebrina RADESCANTIA QUADRI COLOR,Plants,Variegated Zebrina Charm,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=764439166,1,,Active,no match,,Perishable,One Time,GNC,Floral
BB1262P,"5"" Sanseveria on 5"" Grey Nate",Plants,Sanseveria with Grey Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=280459807,1,Other,Inactive,no match,,Perishable,One Time,GNC,Floral
BB1263P,"5"" Calathea lancifolia on 5"" Grey Nate",Plants,Calathea Lancifolia with Grey Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1789950310,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1275P,"5"" White Orchid on 5"" Grey Nate",Plants,Paris with Grey Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=686340954,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1278P,"5"" Pink Orchid on 5"" Grey Nate",Plants,Pink Paris with Grey Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=616241210,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB128-22,Keep on Shining,Mixed,Keep on Shining,Evergreen,E,BB128-22,22,Small,Active,no match,,Perishable,One Time,ELT,Floral
BB1281P,"5"" Orange Bromeliad on 5"" Grey Nate",Plants,Fiery Bomeliad with Grey Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=601613375,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1282P,"5"" Pink Orchid on 5"" Brown Wood",Plants,Pink Paris with Wood Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=661098116,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1284P,"5"" Pink Bromeliad on 5"" Brown Wood",Plants,Pink Bomeliad with Wood Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1962581456,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1290P,"5"" White Orchid on 5"" Cream Jute",Plants,Paris with Jute Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1633044593,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1293P,"2.5"" Pink Orchid on 5"" Brown Wood",Plants,Cape Town with Wood Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=109145456,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1295P,"5"" Pink Anthurium on 5"" Grey Nate",Plants,Pink Anthurium with Grey Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1157534929,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1302P,"5"" Money Tree on 5"" Cream Jute",Plants,Money Tree with Jute Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1265586729,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1308P,"5"" Sanseveria on 5"" Cream Jute",Plants,Sanseveria with Jute Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1735197595,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1311P,"5"" Calathea lancifolia on 5"" White Evi",Plants,Calathea Lancifolia with White Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=954688235,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1312P,"4"" Purple Orchid Duo on 5"" White Evi",Plants,Purple Orchid Duo with White Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1981195236,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1316P,"5"" Red Anthurium on 5"" White Evi",Plants,Red Anthurium with White Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=63233658,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB132-31,Christmas Marvel,Mixed,Christmas Marvel,Seasonal,S,BB132-31,31,Large,Active,no match,,Perishable,One Time,ELT,Floral
BB1321P,"5"" Peperomia Obtipan Green on 5"" White Evi",Plants,Peperomia with White Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=125519653,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1324-12,Red Panther x12st 50cm,Roses,UNKN,Evergreen,E,not found,12,,Active,no match,,Perishable,One Time,AGC,Floral
BB1326-24,Stardust Rose x 24st 50cm,Roses,UNKN,Evergreen,E,not found,24,,Active,no match,,Perishable,One Time,AGC,Floral
BB1328P,"5"" Red Anthurium on 5"" Cream Jute",Plants,Red Anthurium with Jute Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=967787314,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1329P,"4"" Purple Orchid Duo on 5"" Cream Jute",Plants,Purple Orchid Duo with Jute Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=739944655,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB133-25,Serenity,Mixed,Serenity,Evergreen,E,BB133-25,25,Small,Active,no match,,Perishable,One Time,ELT,Floral
BB1330P,"5"" Peperomia Obtipan Green on 5"" Grey Nate",Plants,Peperomia with Grey Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=217345884,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1334P,"5"" Alocasia on 5"" White Evi",Plants,Alocasia with White Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1193218732,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1341P,"5"" Orange Bromeliad on 5"" Cream Jute",Plants,Fiery Bomeliad with Jute Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1708131956,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1344P,"5"" Blue Watercolor Orchid on 5"" White Evi",Plants,Blue Orchid with White Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1802840037,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1345P,"5"" Zz on 5"" White Evi",Plants,Zion ZZ,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=94530481,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1352P,"5"" Money Tree on 5"" White Evi",Plants,Money Tree with White Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=501770197,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1359P,"5"" Imperial Red Philodendron on 5"" Cream Jute",Plants,Red Philodendron with Jute Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1329931979,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB136-27,Land of the Free,Mixed,Land of the Free,Seasonal,S,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1536428977,27,Small,Active,no match,,Perishable,One Time,ELT,Floral
BB1366P,"5"" Pink Orchid on 5"" Cream Jute",Plants,Pink Paris with Jute Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=48884918,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1370P,"5"" Imperial Red Philodendron on 5"" White Evi",Plants,Red Philodendron with White Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1066405083,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1373P,"5"" Zz on 5"" Cream Jute",Plants,ZZ Plant with Jute Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=2082937430,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1374P,"5"" Orange Bromeliad on 5"" White Evi",Plants,Fiery Bomeliad with White Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=763483044,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1379P,"5"" Alocasia on 5"" Brown Wood",Plants,Alocasia with Wood Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=2061118251,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1384P,"5"" Sanseveria on 5"" White Evi",Plants,Sanseveria with White Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1042270460,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1385-12,Cherry Brandy Rose x12st 50cm,Roses,UNKN,Evergreen,E,not found,12,,Active,no match,,Perishable,One Time,AGC,Floral
BB1399-24,Bluez Rose x 24st 50cm,Roses,UNKN,Evergreen,E,not found,24,,Active,no match,,Perishable,One Time,AGC,Floral
BB1401-12,Breathless x12st 50cm,Roses,UNKN,Evergreen,E,not found,12,,Active,no match,,Perishable,One Time,AGC,Floral
BB1404P,"Fiddle Leaf Fig on 5"" White Evi",Plants,Fiddle Leaf Fig with White Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1984094996,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB141-24,Red and White Rose x24,Roses,Red and White Rose x24,Evergreen,E,BB141-24,24,Small,Active,no match,,Perishable,One Time,NTF,Floral
BB1418P,"5"" Calathea Wavestar on 5"" Cream Jute",Plants,Calathea Wavestar with Jute Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=908615517,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1424P,"5"" Alocasia on 5"" Cream Jute",Plants,Alcoasia with Jute Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1255734311,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1429P,"5"" Calathea Wavestar on 5"" Grey Nate",Plants,Calathea Wavestar with Grey Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1377698293,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1430P,"5"" Zz on 5"" Brown Wood",Plants,ZZ Plant with Wood Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=216320428,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1431P,"5"" Pink Bromeliad on 5"" Cream Jute",Plants,Pink Bomeliad with Jute Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1937107581,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1433P,"5"" Peperomia Obtipan Green",Plants,"5"" Peperomia Obtipan Green",Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=6071998,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1438P,"5"" Pink Anthurium on 5"" White Evi",Plants,Pink Anthurium with White Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=2059287923,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1441P,"Fiddle Leaf Fig on 5"" Cream Jute",Plants,Fiddle Leaf Fig with Jute Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1035379708,1,Other,Inactive,no match,,Perishable,One Time,GNC,Floral
BB1451P,"5"" Calathea lancifolia on 5"" Cream Jute",Plants,Calathea Lancifolia with Jute Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=2141121782,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1457P,"Fiddle Leaf Fig on 5"" Brown Wood",Plants,Fiddle Leaf Fig with Wood Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1013072618,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1463P,"5"" White Orchid on 5"" White Evi",Plants,Paris with White Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=939806596,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1465P,"5"" Splinriet Bromeliad on 5"" Grey Nate",Plants,Splinriet Bromeliad with Grey Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=392924051,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1466P,"5"" Calathea Wavestar on 5"" Brown Wood",Plants,Calathea Wavestar with Wood Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=2102793510,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1467P,"5"" Sanseveria on 5"" Brown Wood",Plants,Sanseveria with Wood Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=597023266,1,Other,Inactive,no match,,Perishable,One Time,GNC,Floral
BB1484P,"5"" Pink Anthurium on 5"" Brown Wood",Plants,Pink Anthurium with Wood Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=252069887,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1485P,"5"" Red Anthurium on 5"" Brown Wood",Plants,Red Anthurium with Wood Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=454390596,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1494P,"5"" Calathea lancifolia",Plants,"5"" Calathea lancifolia",Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=21333045,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1496P,"5"" Money Tree on 5"" Grey Nate",Plants,Money Tree with Grey Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=157093798,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1498P,"5"" Red Anthurium on 5"" Grey Nate",Plants,Red Anthurium with Grey Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=947716430,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB154-25,Sunrose Bqt,Mixed,Sunrose Bqt,Evergreen,E,BB154-25,25,Small,Active,no match,,Perishable,One Time,ELT,Floral
BB174-39,Ottawa,Mixed,Ottawa,Evergreen,E,BB174-39,39,Large,Active,no match,,Perishable,One Time,ELT,Floral
BB175-34,no match,no match,no match,no match,S,no match,no match,no match,no match,no match,,no match,no match,no match,no match
BB175-37,Honolulu,Mixed,Wild Berry Premium,Evergreen,E,MULT,MULT,,Active,no match,,Perishable,One Time,MULT,Floral
BB175-42,no match,no match,no match,no match,S,no match,no match,no match,no match,no match,,no match,no match,no match,no match
BB176-38,Springtime Picnic Premium,Mixed,UNKN,Evergreen,E,MULT,MULT,,Active,no match,,Perishable,One Time,MULT,Floral
BB178-37,Berlin,Mixed,Berlin,Evergreen,E,BB178-37,37,Large,Active,no match,,Perishable,One Time,ELT,Floral
BB179-43,SPARKLING GRASS 40 ST_ONE TIME,Mixed,Sparkling Glass,Seasonal,S,MULT,MULT,,Active,no match,,Perishable,One Time,MULT,Floral
BB181-41,EXCALIBUR_BB181-41,Mixed,UNKN,Seasonal,S,MULT,MULT,,Active,no match,,Perishable,One Time,MULT,Floral
BB182-40,Honey Blush Premium,Mixed,Honey Blush Premium,Evergreen,E,MULT,MULT,,Active,no match,,Perishable,One Time,MULT,Floral
BB183-40,Caracas,Mixed,Caracas,Evergreen,E,BB183-40,40,Large,Active,no match,,Perishable,One Time,ELT,Floral
BB184-40,Honey Blush Premium,Mixed,Honey Blush Premium,Evergreen,E,MULT,MULT,,Active,no match,,Perishable,One Time,MULT,Floral
BB185-40,Pastel Daydream Premium,Mixed,Pastel Daydream Premium,Evergreen,E,MULT,MULT,,Active,no match,,Perishable,One Time,MULT,Floral
BB186-44,Pink Cupcake,Mixed,Pink Cupcake,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1138396892,44,Large,Active,no match,,Perishable,One Time,ELT,Floral
BB187-32,Summer Sunset Premium,Mixed,Summer Sunset Premium,Evergreen,E,BB187-32,32,Large,Active,no match,,Perishable,One Time,ELT,Floral
BB188-48,Velvet Premium,Mixed,Velvet Premium,Evergreen,E,MULT,MULT,,Active,no match,,Perishable,One Time,MULT,Floral
BB189-38,First kiss Premium,Mixed,First kiss Premium,Evergreen,E,MULT,MULT,,Active,no match,,Perishable,One Time,MULT,Floral
BB190-39,Ray of Light Premium,Mixed,Ray of Light Premium,Evergreen,E,MULT,MULT,,Active,no match,,Perishable,One Time,MULT,Floral
BB1901-29,Naples,Mixed,Naples,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1783385926,29,Large,Active,no match,,Perishable,One Time,ELT,Floral
BB191-34,Madrid,Mixed,Madrid,Evergreen,E,BB191-34,34,Large,Active,no match,,Perishable,One Time,ELT,Floral
BB194-48,Milan,Mixed,Milan,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=942310272,48,Large,Active,no match,,Perishable,One Time,ELT,Floral
BB197-24,Rosy Dreams,Mixed,Rosy Dreams,Evergreen,E,BB197-24,24,Small,Active,no match,,Perishable,One Time,ELT,Floral
BB205-24,Premium Happiness Spring,Mixed,Premium Happiness Spring,Evergreen,E,BB205-24,24,Small,Active,no match,,Perishable,One Time,ELT,Floral
BB207-29,Fresh romance,Mixed,From the Heart,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1648728876,29,Large,Active,no match,,Perishable,One Time,ELT,Floral
BB211-26,Pink Saphire,Mixed,Pink Saphire,Evergreen,E,BB211-26,26,Small,Active,no match,,Perishable,One Time,ELT,Floral
BB212P,Joyful,Plants,Joyful,Evergreen,E,BB212P,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB214-29,With all my love,Mixed,With all my love,Evergreen,E,MULT,MULT,,Active,no match,,Perishable,One Time,MULT,Floral
BB216-24,Candelight Roses x24,Roses,Candelight Roses x24,Evergreen,E,BB216-24,24,Small,Active,no match,,Perishable,One Time,ELT,Floral
BB217-24,Queens Crown x24,Roses,Queens Crown x24,Evergreen,E,BB217-24,24,Small,Active,no match,,Perishable,One Time,NTF,Floral
BB218-24,Moonstone x24,Roses,Moonstone x24,Evergreen,E,BB218-24,24,Small,Active,no match,,Perishable,One Time,NTF,Floral
BB219-30,Rosy Glow,Mixed,Rosy Glow,Evergreen,E,MULT,MULT,,Active,no match,,Perishable,One Time,MULT,Floral
BB221-24,HEARTS ROSE 24 ST_ONE TIME,Roses,HEARTS ROSE 24 ST_ONE TIME,Evergreen,E,BB221-24,24,Small,Active,no match,,Perishable,One Time,NTF,Floral
BB222-24,White O'hara x24,Roses,White O'hara x24,Evergreen,E,BB222-24,24,Small,Active,no match,,Perishable,One Time,ELT,Floral
BB223-24,Coral Expression x24,Roses,Coral Expression x24,Evergreen,E,BB223-24,24,Small,Active,no match,,Perishable,One Time,NTF,Floral
BB224-24,Ombre Orange,Roses,Ombre Orange,Evergreen,E,BB224-24,24,Small,Active,no match,,Perishable,One Time,NTF,Floral
BB226-24,Country Home x24,Roses,Country Home x24,Evergreen,E,BB226-24,24,Small,Active,no match,,Perishable,One Time,NTF,Floral
BB229-24,Finess x24,Roses,Finess x24,Evergreen,E,BB229-24,24,Small,Active,no match,,Perishable,One Time,NTF,Floral
BB230P,Tropical Holiday,Plants,Tropical Holiday,Evergreen,E,BB230P,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
