SKU,SkuName,Product Type,site Name,skutype,Code,Recipe,Stems,Box fit,status,Create date,Season,skutype,Plant Type,Vendor,VendorType
BB1008-24,Tropical Punch 2,Tropical,Jungle Fusion Bouquet,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1036101343,24,Small,Active,no match,,Perishable,One Time,MGF,Floral
BB1009-26,Musa,Tropical,Tropical Extravaganza,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1751662084,26,Small,Active,no match,,Perishable,One Time,MGF,Floral
BB101-28,Autumn Embers,Mixed,Autumn Embers,Seasonal,S,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1283470569,28,Large,Active,no match,,Perishable,One Time,ELT,Floral
BB1109-22,Salzburg,Mixed,Harmony of Colors,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=42608949,22,Small,Active,no match,,Perishable,One Time,ELT,Floral
BB1110P,"Bromeliad, ""Red Guzmania Hope""",Plants,Exotic Splendor,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1491716728,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1111-32,Pink Love NYBG,Tropical,Island Oasis,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1039712024,32,Large,Active,no match,,Perishable,One Time,MGF,Floral
BB1112P,"5"" Peperomia Obtipan Green on 5"" Brown Wood",Plants,Peperomia with Wood Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1587403241,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1113P,"5"" Alocasia on 5"" Grey Nate",Plants,Alocasia with Grey Pot,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1730973423,1,Other,Inactive,no match,,Perishable,One Time,GNC,Floral
BB1114-32,Pink Anana NYBG,Tropical,Tropical Dreamland,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1937979303,32,Large,Active,no match,,Perishable,One Time,MGF,Floral
BB1115P,Dracaena Deremensis Sol,Plants,Yellow Star Dracaena,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=758321983,1,Other,Active,no match,,Perishable,One Time,GNC,Floral
BB1116-18,Pandora Rose x18 40cm,Roses,Pandora Roses,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1204568098,18,Small,Active,no match,,Perishable,One Time,AGN,Floral
BB1117-22,Liverpool,Mixed,Coastal Breeze,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=1711144711,22,Small,Active,no match,,Perishable,One Time,ELT,Floral
BB1118-24,BB136-27 modif,Mixed,UNKN,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=138571523,24,Small,Active,no match,,Perishable,One Time,ELT,Floral
BB1119-5,Hydrangea White Big Petal Select,Bunch,White Symphony Hydrangea Bouquet,seasonal,S,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=761698182,5,Small,Active,no match,,Perishable,One Time,FNA,Floral
BB112-29,Lady Lavender,Mixed,Lady Lavender,Evergreen,E,MULT,MULT,,Active,no match,,Perishable,One Time,MULT,Floral
BB112-30,Mossy Meadow,Mixed,Mossy Meadow,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=992012407,30,Large,Active,no match,,Perishable,One Time,ELT,Floral
BB1120-22,Springtime Symphony with Clippers,Mixed,Springtime Symphony with Clippers,Evergreen,E,UNKN,22,Small,Inactive,no match,,Perishable,One Time,ELT,Floral
BB1121-27,Sweet Serenade with Floral Clippers,Mixed,Sweet Serenade with Floral Clippers,Evergreen,E,UNKN,27,Small,Inactive,no match,,Perishable,One Time,ELT,Floral
BB1122-31,Coral Sunset with Floral Clippers,Mixed,Coral Sunset with Floral Clippers,Evergreen,E,UNKN,31,Large,Inactive,no match,,Perishable,One Time,ELT,Floral
BB1123-27,Pastel Garden with Floral Clippers,Mixed,Pastel Garden with Floral Clippers,Evergreen,E,UNKN,27,Small,Inactive,no match,,Perishable,One Time,ELT,Floral
BB1124-25,BB987-25 blooming brilliance with tote and scissors,Mixed,BB987-25 blooming brilliance with tote and scissors,Evergreen,E,UNKN,25,Small,Active,no match,,Perishable,One Time,ELT,Floral
BB1125-18,Rose Hearts x18 40cm,Roses,Heart roses,Evergreen,E,https://docs.google.com/spreadsheets/d/1GoVf8EmW-GIdwhWyVxhjVLu2sa7nsnP5Jtq1OXABAW0/edit#gid=621657438,18,Small,Active,no match,,Perishable,One Time,AGN,Floral
