Code,RetailCode,PlanType,Sku,Name,SiteName,Product Type,VendorCode,priceCode,Price,Year,Month,retail,Country,Status
BB1243PGNCVD,BB1243PVD,NonSuscription,BB1243P,Pink Princess Philodendron,Pink Princess Philodendron,Plants,GNC,VD,$24.00 ,2024,JAN,$59.99 ,USA,
BB1243PGNCMD,BB1243PMD,NonSuscription,BB1243P,Pink Princess Philodendron,Pink Princess Philodendron,Plants,GNC,MD,$24.00 ,2024,JAN,$59.99 ,USA,
BB1244PGNCED,BB1244PED,NonSuscription,BB1244P,Osaka Bird's nest fern,Osaka Bird's nest fern,Plants,GNC,ED,$24.00 ,2023,,$59.99 ,USA,
BB1244PGNCCM,BB1244PCM,NonSuscription,BB1244P,Osaka Bird's nest fern,Osaka Bird's nest fern,Plants,GNC,CM,$24.00 ,2023,,$59.99 ,USA,
BB1244PGNCVD,BB1244PVD,NonSuscription,BB1244P,Osaka Bird's nest fern,Osaka Bird's nest fern,Plants,GNC,VD,$24.00 ,2023,,$59.99 ,USA,
BB1244PGNCMD,BB1244PMD,NonSuscription,BB1244P,Osaka Bird's nest fern,Osaka Bird's nest fern,Plants,GNC,MD,$24.00 ,2023,,$59.99 ,USA,
BB1245-18NTFFL,BB1245-18FL,NonSuscription,BB1245-18,Rose Nina x18 40cm,Rose Nina,Roses,NTF,FL,$7.20 ,2023,,$69.99 ,Ecuador,
BB1248-18NTFED,BB1248-18ED,NonSuscription,BB1248-18,Red Freedom x18,Red Freedom Roses,Roses,NTF,ED,$4.50 ,2023,,price not avail,Ecuador,
BB1248-18NTFVD,BB1248-18VD,NonSuscription,BB1248-18,Red Freedom x18,Red Freedom Roses,Roses,NTF,VD,$14.40 ,2023,,price not avail,Ecuador,
BB1248-18NTFMD,BB1248-18MD,NonSuscription,BB1248-18,Red Freedom x18,Red Freedom Roses,Roses,NTF,MD,$4.50 ,2023,,price not avail,Ecuador,
BB1248-18NTFFL,BB1248-18FL,NonSuscription,BB1248-18,Red Freedom x18,Red Freedom Roses,Roses,NTF,FL,$4.50 ,2023,,price not avail,Ecuador,
